hxxlyhjh,0,1990-01-01,20
ymbky,0,1990-01-01,1
fsbtdcq,0,1990-01-01,680
awj,0,1990-01-01,42
djyd,2,2017-07-29,-1
nwssszq,0,1990-01-01,0
jhsr,0,1990-01-01,16
fslz,0,1990-01-01,7
njdzjcgdspmbm,0,1990-01-01,24
bzbs,0,1990-01-01,21
fhfdfgj,0,1990-01-01,7
jdyzl,1,2017-08-01,-1
glgjssy,2,2017-08-01,-1
whks,0,1990-01-01,5
rbzj,5,2017-08-02,-1
ssswjhhxxy,1,2017-08-06,1
dswjj,1,2017-08-02,-1
sszz,2,2017-08-02,-1
alhakb,4,2017-08-04,-1
djsb,3,2017-08-04,-1
bwsdklr,2,2017-08-04,-1
wyzswzh,1,2017-08-05,-1
ndjswd,1,2017-08-05,-1
yqpnzy,2,2017-08-05,-1
yywm,0,1990-01-01,1
jydldbyj,0,1990-01-01,3
jpbjzd,1,2017-08-12,-1
dsrsdf,1,2017-09-09,-1
