hxxlyhjh,0,1990-01-01,27
ymbky,0,1990-01-01,1
fsbtdcq,0,1990-01-01,1040
awj,0,1990-01-01,59
djyd,2,2017-07-29,-1
nwssszq,0,1990-01-01,1
jhsr,0,1990-01-01,20
fslz,1,2017-11-11,8
njdzjcgdspmbm,0,1990-01-01,41
bzbs,0,1990-01-01,40
fhfdfgj,0,1990-01-01,7
jdyzl,1,2017-08-01,-1
glgjssy,2,2017-08-01,-1
whks,0,1990-01-01,8
rbzj,6,2017-08-02,-1
ssswjhhxxy,1,2017-08-06,1
dswjj,1,2017-08-02,-1
sszz,2,2017-08-02,-1
alhakb,5,2017-08-04,-1
djsb,4,2017-08-04,-1
bwsdklr,4,2017-08-04,-1
wyzswzh,1,2017-08-05,-1
ndjswd,2,2017-08-05,-1
yqpnzy,2,2017-08-05,-1
yywm,0,1990-01-01,2
jydldbyj,0,1990-01-01,5
jpbjzd,3,2017-08-12,-1
dsrsdf,2,2017-09-09,-1
pdddfl,1,2017-11-10,-1
gyddw,0,1990-01-01,1
gsty,2,2017-11-15,-1
nzdl,2,2017-11-30,-1
wnfs,1,2017-12-03,-1
