ymbky,0,1990-01-01,1
jhsr,0,1990-01-01,19
fsbtdcq,0,1990-01-01,1385
yywm,0,1990-01-01,5
whks,0,1990-01-01,9
nwssszq,0,1990-01-01,0
awj,1,2017-12-03,84
fslz,1,2017-08-09,8
bzbs,0,1990-01-01,47
hxxlyhjh,0,1990-01-01,37
sszz,3,2017-07-29,-1
njdzjcgdspmbm,0,1990-01-01,66
tsqb,4,2017-07-29,-1
mydnl,1,2017-07-29,-1
dsrsdf,3,2017-07-29,-1
gyddw,0,1990-01-01,4
fhfdfgj,0,1990-01-01,7
zcyx,1,2017-07-30,-1
ssswjhhxxy,3,2017-08-08,2
bwsdklr,6,2017-08-08,-1
jdyzl,1,2017-08-08,-1
jpbjzd,3,2017-08-08,-1
alhakb,9,2017-08-08,-1
jydldbyj,0,1990-01-01,1
djyd,3,2017-08-09,-1
djsb,3,2017-08-10,-1
rbzj,5,2017-08-13,-1
glgjssy,2,2017-08-17,-1
nzdl,2,2017-08-20,-1
zlpccz,2,2017-08-20,-1
szbnqb,1,2017-08-20,-1
bpz,1,2017-09-03,-1
jjddw,1,2017-09-08,-1
wyzswzh,3,2017-12-31,-1
cdsc,1,2017-12-31,-1
zswzgyddf,2,2018-04-03,-1
