ymbky,0,1990-01-01,1
jhsr,0,1990-01-01,19
fsbtdcq,0,1990-01-01,1184
yywm,0,1990-01-01,3
whks,0,1990-01-01,8
nwssszq,0,1990-01-01,0
awj,1,2017-12-03,69
fslz,1,2017-08-09,8
bzbs,0,1990-01-01,38
hxxlyhjh,0,1990-01-01,31
sszz,2,2017-07-29,-1
njdzjcgdspmbm,0,1990-01-01,56
tsqb,4,2017-07-29,-1
mydnl,1,2017-07-29,-1
dsrsdf,3,2017-07-29,-1
gyddw,0,1990-01-01,4
fhfdfgj,0,1990-01-01,5
zcyx,1,2017-07-30,-1
ssswjhhxxy,2,2017-08-08,1
bwsdklr,4,2017-08-08,-1
jdyzl,1,2017-08-08,-1
jpbjzd,3,2017-08-08,-1
alhakb,7,2017-08-08,-1
jydldbyj,0,1990-01-01,1
djyd,2,2017-08-09,-1
djsb,3,2017-08-10,-1
rbzj,4,2017-08-13,-1
glgjssy,2,2017-08-17,-1
nzdl,2,2017-08-20,-1
zlpccz,1,2017-08-20,-1
szbnqb,1,2017-08-20,-1
bpz,1,2017-09-03,-1
jjddw,1,2017-09-08,-1
wyzswzh,2,2017-12-31,-1
cdsc,1,2017-12-31,-1
