hxxlyhjh,0,1990-01-01,18
ymbky,0,1990-01-01,1
jhsr,0,1990-01-01,13
fslz,0,1990-01-01,6
gsty,1,2017-07-29,-1
nwssszq,0,1990-01-01,2
bzbs,0,1990-01-01,11
fsbtdcq,0,1990-01-01,289
njdzjcgdspmbm,0,1990-01-01,15
tsqb,3,2017-07-29,-1
zlpccz,1,2017-07-29,-1
dsrsdf,2,2017-07-29,-1
awj,0,1990-01-01,13
whks,0,1990-01-01,3
gyddw,0,1990-01-01,3
wyzswzh,2,2017-07-31,-1
mdzm,1,2017-07-31,-1
alhakb,1,2017-07-31,-1
djsb,1,2017-07-31,-1
bwsdklr,2,2017-08-01,-1
cdsc,1,2017-08-01,-1
jjddw,1,2017-08-01,-1
jssswysgnk,1,2017-08-01,-1
rbzj,4,2017-08-02,-1
ssswjhhxxy,1,2017-08-02,3
ndjswd,1,2017-08-02,-1
yywm,0,1990-01-01,1
