hxxlyhjh,0,1990-01-01,12
ymbky,0,1990-01-01,1
jhsr,0,1990-01-01,11
fslz,0,1990-01-01,5
gsty,1,2017-07-29,-1
nwssszq,0,1990-01-01,1
bzbs,0,1990-01-01,9
fsbtdcq,0,1990-01-01,217
njdzjcgdspmbm,0,1990-01-01,12
tsqb,3,2017-07-29,-1
zlpccz,1,2017-07-29,-1
dsrsdf,2,2017-07-29,-1
awj,0,1990-01-01,10
whks,0,1990-01-01,3
gyddw,0,1990-01-01,3
wyzswzh,1,2017-07-31,-1
mdzm,1,2017-07-31,-1
alhakb,1,2017-07-31,-1
djsb,1,2017-07-31,-1
bwsdklr,2,2017-08-01,-1
cdsc,1,2017-08-01,-1
jjddw,1,2017-08-01,-1
jssswysgnk,1,2017-08-01,-1
rbzj,3,2017-08-02,-1
ssswjhhxxy,1,2017-08-02,3
