hxxlyhjh,0,1990-01-01,13
ymbky,0,1990-01-01,1
fsbtdcq,0,1990-01-01,494
jhsr,0,1990-01-01,15
fslz,0,1990-01-01,7
nwssszq,0,1990-01-01,0
bzbs,0,1990-01-01,13
awj,0,1990-01-01,18
fhfdfgj,0,1990-01-01,5
njdzjcgdspmbm,0,1990-01-01,30
jdyzl,1,2017-07-31,-1
whks,0,1990-01-01,2
nzdl,1,2017-08-01,-1
ssswjhhxxy,0,1990-01-01,1
rbzj,2,2017-08-03,-1
bwsdklr,2,2017-08-06,-1
tsqb,1,2017-08-07,-1
ndjswd,2,2017-08-24,-1
yywm,0,1990-01-01,1
gyddw,0,1990-01-01,1
alhakb,1,2018-02-15,-1
djsb,1,2018-02-15,-1
dmhb,1,2018-03-06,-1
