ssswjhhxxy,1,2018-05-27,1
ymbky,0,1990-01-01,1
hxxlyhjh,0,1990-01-01,15
fsbtdcq,0,1990-01-01,468
awj,0,1990-01-01,26
fslz,1,2018-07-02,8
nwssszq,0,1990-01-01,3
bzbs,0,1990-01-01,23
jhsr,0,1990-01-01,13
njdzjcgdspmbm,0,1990-01-01,16
nzdl,3,2018-05-22,-1
whks,0,1990-01-01,2
alhakb,3,2018-05-22,-1
djsb,2,2018-05-22,-1
jydldbyj,0,1990-01-01,5
fhfdfgj,0,1990-01-01,4
zswzgyddf,1,2018-05-22,-1
rbzj,3,2018-05-25,-1
bwsdklr,2,2018-05-25,-1
ndjswd,2,2018-05-26,-1
jpbjzd,1,2018-05-26,-1
yywm,0,1990-01-01,1
sszz,2,2018-06-16,-1
wyzswzh,1,2018-06-18,-1
gyddw,0,1990-01-01,3
